Województwo;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
DOLNOŚLĄSKIE;3412,37;3587,25;3709,32;3868,86;4042,86;4204,24;4385,84;4654,51;4942,39;5323,55
KUJAWSKO-POMORSKIE;2910,82;3062,32;3182,31;3322,09;3439,06;3540,25;3672,98;3886,20;4139,21;4494,37
LUBELSKIE;3099,60;3257,14;3382,66;3488,61;3605,03;3699,48;3815,95;4020,25;4260,71;4564,85
LUBUSKIE;2920,43;3073,95;3203,18;3282,07;3425,38;3567,60;3734,90;3950,95;4239,92;4559,96
ŁÓDZKIE;3066,02;3245,97;3383,30;3510,20;3618,63;3790,76;3925,10;4141,94;4441,29;4790,10
MAŁOPOLSKIE;3169,90;3332,98;3456,16;3574,22;3700,06;3906,96;4077,91;4347,10;4678,95;5098,26
MAZOWIECKIE;4279,55;4504,66;4637,58;4773,41;4927,34;5098,55;5240,86;5523,65;5888,90;6248,47
OPOLSKIE;3137,29;3249,58;3358,42;3473,40;3632,84;3793,28;3927,04;4144,91;4379,25;4712,47
PODKARPACKIE;2877,43;3023,21;3152,36;3282,69;3412,30;3527,62;3653,67;3837,17;4089,81;4388,16
PODLASKIE;3019,83;3178,15;3310,71;3432,71;3530,17;3647,08;3767,20;4005,94;4264,04;4575,88
POMORSKIE;3383,58;3567,49;3696,89;3847,12;4011,59;4132,13;4274,73;4496,64;4794,74;5142,01
ŚLĄSKIE;3528,19;3794,62;3855,26;4022,80;4100,51;4221,45;4295,29;4481,57;4825,28;5177,86
ŚWIĘTOKRZYSKIE;2971,58;3137,91;3250,94;3349,81;3435,93;3580,62;3669,57;3911,49;4171,17;4490,41
WARMIŃSKO-MAZURSKIE;2879,97;3019,37;3150,27;3264,63;3386,96;3495,02;3619,16;3802,98;4028,33;4319,51
WIELKOPOLSKIE;3126,36;3284,41;3397,25;3515,31;3597,69;3723,69;3894,10;4124,13;4382,96;4687,39
ZACHODNIOPOMORSKIE;3120,15;3289,56;3417,76;3539,12;3649,27;3793,68;3946,28;4154,25;4431,95;4769,71
